,Site Name,Upper Age (IntCal20),Lower Age (IntCal20),Stratigraphy (CARD),Context (CARD),Unit Name (Neotoma),Original Age Type,Latitude,Longitude,Citation 1,Citation 2,Citation 3,Citation 4,Citation 5,Citation 6,Citation 7,Citation 8,Citation 9,Citation 10,Citation 11,Citation 12,Citation 13,Data Source
11,21PL49,6281,6201,NA,animal processing area,NA,Radiocarbon years BP,47.774622,-96.399564,Minnesota state database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
12,21PL54,7885,7805,NA,animal processing area,NA,Radiocarbon years BP,47.774622,-96.399564,Minnesota state database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
13,21PL57,3469,3389,NA,hearth,NA,Radiocarbon years BP,47.774622,-96.399564,Minnesota state database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
14,21PL57,3435,3355,NA,hearth,NA,Radiocarbon years BP,47.774622,-96.399564,Minnesota state database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
15,21PL72,1028,948,NA,Bison processing area,NA,Radiocarbon years BP,47.774622,-96.399564,Minnesota state database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
16,21PL72,968,888,NA,Bison processing area,NA,Radiocarbon years BP,47.774622,-96.399564,Minnesota state database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
17,24BH,10884,10764,NA,NA,NA,Radiocarbon years BP,45.429447,-107.489759,"Melton and Davis, 1999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
18,24BH264,796,766,NA,Horizon 2A (60),NA,Radiocarbon years BP,45.429447,-107.489759,"Herrmann et al, 2017, BacheeishDiio (place where men pack meat)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
19,24BH264,778,748,NA,Horizon C(20-30),NA,Radiocarbon years BP,45.429447,-107.489759,"Herrmann et al, 2017, BacheeishDiio (place where men pack meat)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
20,24BH264,778,748,NA,Horizon 2C,NA,Radiocarbon years BP,45.429447,-107.489759,"Herrmann et al, 2017, BacheeishDiio (place where men pack meat)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
21,24BH264,778,748,NA,Horizon C(50-60),NA,Radiocarbon years BP,45.429447,-107.489759,"Herrmann et al, 2017, BacheeishDiio (place where men pack meat)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
22,24BL102,1942,524,NA,NA,Assemblage,Radiocarbon years BP,48,-109.116667,"Brumley, J. H. 1990. Investigation at Herdegen's Birdtail Butte site (24BL1152). Archaeology in Montana 31(1):17-87.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
23,24CA,1297,1137,NA,NA,NA,Radiocarbon years BP,47.310527,-111.351318,"L.B. Davis, p.c. 2001"," Morlan, 1988",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
24,24CH395,687,657,NA,assoc. with Intermountain ceramics,NA,Radiocarbon years BP,47.87612,-110.439017,"Davis et al 2011, AIM 2011(2)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
25,24CH395,687,657,NA,NA,NA,Radiocarbon years BP,47.87612,-110.439017,"Puseman and Lux 2010-AMS radiocarbon dating of a bison pre-molar from site 24CH395, Square Butte, MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
26,24GF250,1014,860,NA,NA,Assemblage,Radiocarbon years BP,47.5,-106.75,"Burgett, G. R., and E. E. Ingbar. 1986. An analysis of 24GF250: a late Prehistoric period site in northeastern Montana. Ms. on file, Bureau of Land Management, Miles City.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
27,24GL302,1942,524,NA,NA,Assemblage,Radiocarbon years BP,48.5,-112.866667,"Kehoe, T. F., and A. B. Kehoe. 1959. Observations on the butchering technique at a prehistoric bison kill in Montana. American Antiquity 25:420-423.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
28,24HL91,1919,1719,NA,NA,NA,Radiocarbon years BP,48.628363,-110.10562,"Davis, 1982"," Keyser, 1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
29,24MA1138,386,266,NA,NA,NA,Radiocarbon years BP,47.648986,-105.801536,"Baumler, p.c. 2002"," Baumler and Eckerle, 1999"," Baumler et al., 1996",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
30,24PE30,2454,2024,NA,NA,NA,Radiocarbon years BP,46.853428,-105.372898,"Clark and Wilson, 1981"," Davis, 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
31,24PE30,2454,2024,NA,NA,NA,Radiocarbon years BP,46.853428,-105.372898,"Clark and Wilson, 1981"," Davis, 1982",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
32,25FT17,757,668,NA,NA,Assemblage,Radiocarbon years BP,40.377778,-100.2125,"Semken, H.A., Jr., and C.R. Falk. 1987. Late Pleistocene/Holocene mammalian faunas and environmental changes on the northern plains of the United States. Pages 176-313 in R.W. Graham, H.A. Semken, Jr., and M.A. Graham, editors. Late Quaternary mammalian biogeography and environments of the Great Plains and prairies. Scientific Papers 22. Illinois State Museum, Springfield, Illinois, USA.","Mick, L. S. 1983. An ecological evaluation of faunal diversity in the Central Plains tradition. Master's thesis, University of Nebraska, Lincoln.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
33,25FT32,581,511,NA,NA,Assemblage,Radiocarbon years BP,40.358611,-100.6775,"Grange, R. T., Jr. 1980. Archeological investigations in Red Willow Reservoir. Nebraska State Historical Society, Publications in Anthropology 9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
34,25FT39,676,651,NA,NA,Assemblage,Radiocarbon years BP,40.413889,-100.244444,"Semken, H.A., Jr., and C.R. Falk. 1987. Late Pleistocene/Holocene mammalian faunas and environmental changes on the northern plains of the United States. Pages 176-313 in R.W. Graham, H.A. Semken, Jr., and M.A. Graham, editors. Late Quaternary mammalian biogeography and environments of the Great Plains and prairies. Scientific Papers 22. Illinois State Museum, Springfield, Illinois, USA.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
35,25FT54,923,524,NA,NA,Assemblage,Radiocarbon years BP,40.393333,-100.746389,"Grange, R. T., Jr. 1980. Archeological investigations in Red Willow Reservoir. Nebraska State Historical Society, Publications in Anthropology 9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
36,25FT58,923,524,NA,NA,Assemblage,Radiocarbon years BP,40.366667,-100.616667,"Grange, R. T., Jr. 1980. Archeological investigations in Red Willow Reservoir. Nebraska State Historical Society, Publications in Anthropology 9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
37,25FT70,1229,524,NA,NA,Assemblage,Radiocarbon years BP,40.383333,-100.230556,"Semken, H.A., Jr., and C.R. Falk. 1987. Late Pleistocene/Holocene mammalian faunas and environmental changes on the northern plains of the United States. Pages 176-313 in R.W. Graham, H.A. Semken, Jr., and M.A. Graham, editors. Late Quaternary mammalian biogeography and environments of the Great Plains and prairies. Scientific Papers 22. Illinois State Museum, Springfield, Illinois, USA.","Mick, L. S. 1983. An ecological evaluation of faunal diversity in the Central Plains tradition. Master's thesis, University of Nebraska, Lincoln.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
38,25FT77,923,524,NA,NA,Assemblage,Radiocarbon years BP,40.366667,-100.616667,"Grange, R. T., Jr. 1980. Archeological investigations in Red Willow Reservoir. Nebraska State Historical Society, Publications in Anthropology 9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
39,25FT80,517,486,NA,NA,Assemblage,Radiocarbon years BP,40.380556,-100.731111,"Grange, R. T., Jr. 1980. Archeological investigations in Red Willow Reservoir. Nebraska State Historical Society, Publications in Anthropology 9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
40,25RW22,923,524,NA,NA,Assemblage,Radiocarbon years BP,40.25,-100.616667,"Grange, R. T., Jr. 1980. Archeological investigations in Red Willow Reservoir. Nebraska State Historical Society, Publications in Anthropology 9.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
41,3-Post Rockshelter [24BH3245],1774,1714,115 cmbs or 375 cmbd,BH3245-20S 2E;,NA,Radiocarbon years BP,45.429447,-107.489759,Munson 2018-Excavation of 3-Post Rockshelter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
42,32DU508,472,332,NA,"scapula tool in square F in the quarry area, 83-87 cm below datum",NA,Radiocarbon years BP,47.358187,-102.615277,"Ahler, 1986",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
43,32DU508,231,131,NA,"scapula tool in square F in the quarry area, 83-87 cm below datum",NA,Radiocarbon years BP,47.358187,-102.615277,"Ahler, 1986"," Gregg & Bleier, 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
44,32MZ411,2831,2801,0 cmbs,NA,NA,Radiocarbon years BP,47.732829,-103.388753,Puseman and Logan 2011-PRI Report 2011-116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
45,32MZ411,2239,2209,0 cmbs,NA,NA,Radiocarbon years BP,47.732829,-103.388753,Puseman and Logan 2011-PRI Report 2011-116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
46,34CD202,950,350,NA,NA,Assemblage,Calendar years BP,35.25,-98.25,"Baugh, S. T. 1986. Late Prehistoric bison distributions in Oklahoma. Plains Anthropologist Memoir 21:83-96.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
47,34WA5,841,608,NA,NA,Assemblage,Radiocarbon years BP,35.25,-99,"Drass, R. R., and P. Flynn. 1990. Temporal and geographic variations in subsistence practices for Plains villagers in the Southern plains. Plains Anthropologist 35:175-190.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
48,39BF4,10717,10427,NA,in buried soil horizon,NA,Radiocarbon years BP,44.083964,-99.200583,"Falk 1984, Archeological Investigations with inFederal Lands located on the east bank of the lake sharpe project…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
49,39BR201,125,54,NA,NA,Assemblage,Radiocarbon years BP,43.616667,-99.366667,"Weakly, W. F. 1961. A site in the Fort Randall Reservoir, Brule County, South Dakota. Plains Anthropologist 6:230-241.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neotoma
50,39HD115,730,686,NA,"Bison M-1 Tooth, See Site Form For Report",NA,Radiocarbon years BP,44.546951,-99.004167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
51,39SB43,169,168,NA,"This date is <200. Wood charcoal from Site 39Sb43, Sanborn Co (44 degrees 03' 14"" N, 98 dgrees 04' 54"" W) coll Aug 1979 by M Hodges and subm by RA Alex, south Dakota Archaeol Research Center. Dates bison kill and processing sta (Buechler & keller, 1983). Comment: excavation of 39Sb43 yielded several artifacts suggesting protohistoric date for this shallowly buried site. Charcoal from 39Sb43 produced recent date which further substantiates investigators' beliefs that site is late. Site is located along Redstone Creek, tributary of James R in E South Dakota.",NA,Radiocarbon years BP,44.025361,-98.09044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
52,41BL991,193,113,NA,NA,NA,Radiocarbon years BP,31.037453,-97.475901,Fort Hood 14C Database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
53,41GR249,264,34,NA,"Test unit 1, 70 cm",NA,Radiocarbon years BP,33.181125,-101.299846,"Boyd 1997, Caprock Canyonlands Archaeology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
54,41GR270,250,30,NA,"Test unit 1, 75-87 cm",NA,Radiocarbon years BP,33.181125,-101.299846,"Boyd 1997, Caprock Canyonlands Archaeology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
55,41GR488,169,168,NA,"Test unit 1, 114 cm",NA,Radiocarbon years BP,33.181125,-101.299846,"Boyd 1997, Caprock Canyonlands Archaeology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
56,41GR539,267,117,NA,"Test unit 1, 141 cm",NA,Radiocarbon years BP,33.181125,-101.299846,"Boyd 1997, Caprock Canyonlands Archaeology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
57,41HM61,2247,2207,NA,"BT 15, west wall, A horizon, ele. 99.01. Calcaneous processed using XAD filtration",NA,Radiocarbon years BP,31.703376,-98.110174,Weinstein 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
58,41HM61,2081,2021,NA,"BT 15, west wall, A horizon, ele. 99.01. Calcaneous processed using XAD filtration",NA,Radiocarbon years BP,31.703376,-98.110174,Weinstein 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
59,41HM61,415,355,NA,"Block 1, N602/E959, stratum 4, level A, ele. 99.44",NA,Radiocarbon years BP,31.703376,-98.110174,Weinstein 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
60,41HM61,415,355,NA,"Block 1, N601/E596, stratum 4, level B, ele. 99.35",NA,Radiocarbon years BP,31.703376,-98.110174,Weinstein 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
61,41HM61,404,364,NA,"WC 6, Feature 30, ele. 99.04",NA,Radiocarbon years BP,31.703376,-98.110174,Weinstein 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
62,41HM61,404,364,NA,"Block 1, N601/E596, stratum 4, level B, ele. 99.35",NA,Radiocarbon years BP,31.703376,-98.110174,Weinstein 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
63,41HM61,404,364,NA,"Block 1, N602/E959, stratum 4, level A, ele. 99.44",NA,Radiocarbon years BP,31.703376,-98.110174,Weinstein 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
64,41HM61,326,266,NA,"Block 1, N602/E959, stratum 4, Level A, ele. 98.72",NA,Radiocarbon years BP,31.703376,-98.110174,Weinstein 2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
65,41HR541,584,444,NA,Subunits C2-C3,NA,Radiocarbon years BP,29.85685,-95.392677,"McReynolds et. al. 1988  Archaeological Investigations at a Late Ceramic Period Bison Kill Site, (41HR541), Whiteoak Bayou, Harris County, Texas Reports of Investigations No. 7 Archeological research Laboratory Texas A&M University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
66,41HR541,330,210,NA,Subunits C2-C3,NA,Radiocarbon years BP,29.85685,-95.392677,"McReynolds et. al. 1988  Archaeological Investigations at a Late Ceramic Period Bison Kill Site, (41HR541), Whiteoak Bayou, Harris County, Texas Reports of Investigations No. 7 Archeological research Laboratory Texas A&M University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
67,41Hy165,3304,3274,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
68,41HY165,3208,3168,NA,"Unit 3, lvl 7, NE Quad, 55-65 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
69,41HY165,3147,3107,NA,"Unit 8, lvl 11, NW Quad",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
70,41HY165,2610,2580,NA,"Unit 3, lvl 6, NE Quad, 45-55 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
71,41HY165,2593,2543,NA,"Unit 3, lvl 2, NW Quad, 5-15 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
72,41HY165,2254,2214,NA,"Unit 11, lvl 7, 54-64 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
73,41HY165,624,584,NA,"Unit 2, lvl 4, SW QUad, 23-33 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
74,41HY165,618,578,NA,"Unit 7, lvl 4, NW Quad, 25 cm",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
75,41HY165,564,534,NA,"Unit 11, lvl 3, 14-24 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
76,41HY165,559,519,NA,"Unit 7, lvl 2, NW Quad, 5-15 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
77,41HY165,548,518,NA,"Unit 2, lvl 3",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
78,41HY165,312,282,NA,"Unit 2, lvl 3, SW QUad, 13-23 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
79,41HY165,184,154,NA,"Unit 2, lvl 7, SW Quad, 55-65 cmbd",NA,Radiocarbon years BP,30.057564,-98.029527,Leezer 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
80,41HY188,3201,3161,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
81,41HY188,2615,2585,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
82,41HY188,2605,2575,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
83,41HY188,621,591,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
84,41HY188,621,591,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
85,41HY188,621,591,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
86,41HY188,621,591,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
87,41HY188,618,588,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
88,41HY188,564,534,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
89,41HY188,558,528,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
90,41HY188,558,528,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
91,41HY188,558,528,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
92,41HY188,558,528,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
93,41HY188,555,525,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
94,41HY188,553,523,NA,NA,NA,Radiocarbon years BP,30.057564,-98.029527,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
95,41KR754,10253,10193,NA,NA,NA,Radiocarbon years BP,30.062193,-99.348662,"Pertulla, PC, 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
96,41KT44,512,282,NA,"Test unit 1, 78 cm",NA,Radiocarbon years BP,33.186492,-100.770987,"Boyd 1997, Caprock Canyonlands Archaeology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
97,41KT69A,169,168,NA,"Test unit 1, 33 cm",NA,Radiocarbon years BP,33.186492,-100.770987,"Boyd 1997, Caprock Canyonlands Archaeology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
98,41KT69B,169,168,NA,"Terrace cutback, 12 cm",NA,Radiocarbon years BP,33.186492,-100.770987,"Boyd 1997, Caprock Canyonlands Archaeology",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
99,41ME147,5984,5944,NA,NA,NA,Radiocarbon years BP,29.353808,-99.110186,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
100,41ME147,568,538,NA,NA,NA,Radiocarbon years BP,29.353808,-99.110186,"Lohse, J.C., et al. 2014, A precise chronology of middle o late holocene bison exploitation in the far southern Great Plains, J. Texas Archaeology and History 1.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
101,41MS99,2336,2276,NA,EU 43,NA,Radiocarbon years BP,30.717774,-99.220381,"Ross Fields, pers com, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
102,41MS99,2261,2201,NA,EU 63,NA,Radiocarbon years BP,30.717774,-99.220381,"Ross Fields, pers com, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
103,41MS99,2261,2201,NA,TU 5,NA,Radiocarbon years BP,30.717774,-99.220381,"Ross Fields, pers com, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
104,41MS99,2209,2149,NA,EU 77,NA,Radiocarbon years BP,30.717774,-99.220381,"Ross Fields, pers com, 2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CARD
